start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
2632:d0d8::,2632:d0d8:3fff:ffff:ffff:ffff:ffff:ffff,2632:d0d8::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
240d:15ae:4000::,240d:15ae:7fff:ffff:ffff:ffff:ffff:ffff,240d:15ae:4000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2409:8a60:3622:8b00::,2409:8a60:3622:8bff:ffff:ffff:ffff:ffff,2409:8a60::,Hefei,Anhui,CN,31.86389,117.28083,230000,Asia/Shanghai
2804:818c:4096::,2804:818c:4096:ff:ffff:ffff:ffff:ffff,2804:818c:4000::,Osasco,São Paulo,BR,-23.5325,-46.79167,06000-000,America/Sao_Paulo
84.9.34.95,84.9.34.111,84.9.0.0,London,England,GB,51.50853,-0.12574,E1W,Europe/London
2408:832e:1af5:1c00::,2408:832e:1af5:1eff:ffff:ffff:ffff:ffff,2408:832e::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2415:cde8:c000::,2415:cde8:ffff:ffff:ffff:ffff:ffff:ffff,2415:cde8:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2418:8249::,2418:8249:3fff:ffff:ffff:ffff:ffff:ffff,2418:8249::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
260f:754f::,260f:754f:3fff:ffff:ffff:ffff:ffff:ffff,260f:754f::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2601:ef81::,2601:ef81:3fff:ffff:ffff:ffff:ffff:ffff,2601:ef81::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
179.119.197.116,179.119.197.120,179.119.0.0,Campinas,São Paulo,BR,-22.90556,-47.06083,13000-000,America/Sao_Paulo
240f:54:f15:100::,240f:54:f37:ffff:ffff:ffff:ffff:ffff,240f:54::,Sendai,Miyagi,JP,38.26667,140.86667,980-0014,Asia/Tokyo
2409:cec6:c000::,2409:cec6:ffff:ffff:ffff:ffff:ffff:ffff,2409:cec6:c000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2804:d08:80aa:6800::,2804:d08:80aa:74ff:ffff:ffff:ffff:ffff,2804:d08:8000::,Porto Belo,Santa Catarina,BR,-27.15778,-48.55306,88210-000,America/Sao_Paulo
240c:47ec:4000::,240c:47ec:7fff:ffff:ffff:ffff:ffff:ffff,240c:47ec:4000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2409:894d:1896:1000::,2409:894d:1897:ffff:ffff:ffff:ffff:ffff,2409:894d::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2a1f:6e9::,2a1f:6e9:3fff:ffff:ffff:ffff:ffff:ffff,2a1f:6e9::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
240e:351:66d0::,240e:351:66d0:ffff:ffff:ffff:ffff:ffff,240e:351:4000::,Foshan,Guangdong,CN,23.02677,113.13148,528000,Asia/Shanghai
2638:c0c8:8000::,2638:c0c8:bfff:ffff:ffff:ffff:ffff:ffff,2638:c0c8:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
240a:61:21cc:2800::,240a:61:21cc:28ff:ffff:ffff:ffff:ffff,240a:61::,Ōzu,Kumamoto,JP,32.8804,130.87161,869-1115,Asia/Tokyo
73.218.255.122,73.218.255.255,73.218.0.0,Barnstable,Massachusetts,US,41.70011,-70.29947,02630,America/New_York
90.220.58.196,90.220.58.199,90.220.0.0,Hedge End,England,GB,50.91234,-1.30076,SO30,Europe/London
2407:72fa:8000::,2407:72fa:bfff:ffff:ffff:ffff:ffff:ffff,2407:72fa:8000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2a04:2a11:4000::,2a04:2a11:7fff:ffff:ffff:ffff:ffff:ffff,2a04:2a11:4000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
213.138.50.233,213.138.50.238,213.138.0.0,Berlin,Berlin,DE,52.52437,13.41053,10119,Europe/Berlin
240e:47c:4048:2000::,240e:47c:4048:23ff:ffff:ffff:ffff:ffff,240e:47c:4000::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2a0a:f0fb:c000::,2a0a:f0fb:ffff:ffff:ffff:ffff:ffff:ffff,2a0a:f0fb:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
112.211.243.0,112.211.243.255,112.211.0.0,Quezon City,Metro Manila,PH,14.6488,121.0509,1100,Asia/Manila
84.102.75.128,84.102.75.255,84.102.0.0,Saint-Chamond,Auvergne-Rhône-Alpes,FR,45.4759,4.51294,42400,Europe/Paris
2601:207:1:5591::,2601:207:1:595f:ffff:ffff:ffff:ffff,2601:207::,Sacramento,California,US,38.58157,-121.4944,94203,America/Los_Angeles
263f:db83:8000::,263f:db83:bfff:ffff:ffff:ffff:ffff:ffff,263f:db83:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
116.98.99.152,116.98.99.155,116.98.0.0,Buôn Ma Thuột,Đắk Lắk,VN,12.66747,108.03775,63150,Asia/Ho_Chi_Minh
2801:236:8000::,2801:236:bfff:ffff:ffff:ffff:ffff:ffff,2801:236:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2001:e60:1048:b200::,2001:e60:1048:b2ff:ffff:ffff:ffff:ffff,2001:e60::,Daejeon,Daejeon,KR,36.34913,127.38493,35228,Asia/Seoul
76.81.59.60,76.81.59.63,76.81.0.0,El Monte,California,US,34.06862,-118.02757,91734,America/Los_Angeles
280d:ee44:8000::,280d:ee44:bfff:ffff:ffff:ffff:ffff:ffff,280d:ee44:8000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
91.113.247.89,91.113.247.89,91.113.0.0,Neusiedl am See,Burgenland,AT,47.94901,16.8417,7100,Europe/Vienna
2001:1890:1953:4200::,2001:1890:1953:43ff:ffff:ffff:ffff:ffff,2001:1890::,El Monte,California,US,34.0791,-118.0371,91731,America/Los_Angeles
2601:9cd:4000::,2601:9cd:7fff:ffff:ffff:ffff:ffff:ffff,2601:9cd:4000::,Reading,Pennsylvania,US,40.33565,-75.92687,19602,America/New_York
2809:80e1:4000::,2809:80e1:7fff:ffff:ffff:ffff:ffff:ffff,2809:80e1:4000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
2409:4061:2d3c:6d00::,2409:4061:2d3c:6dff:ffff:ffff:ffff:ffff,2409:4061::,Tāki,West Bengal,IN,22.58867,88.93253,743429,Asia/Kolkata
240e:360:8705:9c00::,240e:360:8705:9cff:ffff:ffff:ffff:ffff,240e:360:8000::,Hangzhou,Zhejiang,CN,30.29365,120.16142,310000,Asia/Shanghai
187.238.92.189,187.238.92.189,187.238.0.0,Culhuacán,Hidalgo,MX,20.81498,-98.67153,43257,America/Mexico_City
260f:b64c:8000::,260f:b64c:bfff:ffff:ffff:ffff:ffff:ffff,260f:b64c:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
59.97.2.32,59.97.2.39,59.97.0.0,Hubli,Karnataka,IN,15.34776,75.13378,580001,Asia/Kolkata
80.125.66.252,80.125.66.255,80.125.0.0,Paris,Île-de-France,FR,48.85341,2.3488,75000,Europe/Paris
263b:3ae9:c000::,263b:3ae9:ffff:ffff:ffff:ffff:ffff:ffff,263b:3ae9:c000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2001:268:962e:c100::,2001:268:962e:c1ff:ffff:ffff:ffff:ffff,2001:268:8000::,Tokyo,Tokyo,JP,35.6895,139.69171,101-8656,Asia/Tokyo
98.16.89.42,98.16.89.47,98.16.0.0,Moultrie,Georgia,US,31.17991,-83.78906,31776,America/New_York
2a01:5e42:4000::,2a01:5e42:7fff:ffff:ffff:ffff:ffff:ffff,2a01:5e42:4000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2409:4072:890:de00::,2409:4072:890:deff:ffff:ffff:ffff:ffff,2409:4072::,Pollachi,Tamil Nadu,IN,10.65825,77.0085,642001,Asia/Kolkata
2a00:eff2:c000::,2a00:eff2:ffff:ffff:ffff:ffff:ffff:ffff,2a00:eff2:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2409:4053:109::,2409:4053:109:ff:ffff:ffff:ffff:ffff,2409:4053::,Pūranpur,Uttar Pradesh,IN,28.51283,80.14829,262122,Asia/Kolkata
2a02:1630:ca00:113::,2a02:1630:ca00:113:ffff:ffff:ffff:ffff,2a02:1630:c000::,Milan,Lombardy,IT,45.46427,9.18951,20121,Europe/Rome
2635:5d29::,2635:5d29:3fff:ffff:ffff:ffff:ffff:ffff,2635:5d29::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2001:4430:d282:9000::,2001:4430:d282:90ff:ffff:ffff:ffff:ffff,2001:4430:c000::,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
2607:d970:8000::,2607:d970:bfff:ffff:ffff:ffff:ffff:ffff,2607:d970:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2a08:6287::,2a08:6287:3fff:ffff:ffff:ffff:ffff:ffff,2a08:6287::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2001:268:9061:3e00::,2001:268:9061:3fff:ffff:ffff:ffff:ffff,2001:268:8000::,Tokyo,Tokyo,JP,35.6895,139.69171,101-8656,Asia/Tokyo
